row,col,expected,actual,file
10135,DATE,date like ,2,literal data
10135,TIME,time like ,in,literal data
10135,H2O,a double,"wetl""",literal data
10135,CO2,no trailing characters,2023-07-19,literal data
10135,CH4,no trailing characters,15:14:29,literal data
10135,NA,22 columns,25 columns,literal data
10136,DATE,date like ,2,literal data
10136,TIME,time like ,in,literal data
10136,H2O,a double,"wetl""",literal data
10136,CO2,no trailing characters,2023-07-19,literal data
10136,CH4,no trailing characters,15:14:30,literal data
10136,NA,22 columns,25 columns,literal data
10137,DATE,date like ,2,literal data
10137,TIME,time like ,in,literal data
10137,H2O,a double,"wetl""",literal data
10137,CO2,no trailing characters,2023-07-19,literal data
10137,CH4,no trailing characters,15:14:31,literal data
10137,NA,22 columns,25 columns,literal data
10138,DATE,date like ,2,literal data
10138,TIME,time like ,in,literal data
10138,H2O,a double,"wetl""",literal data
10138,CO2,no trailing characters,2023-07-19,literal data
10138,CH4,no trailing characters,15:14:32,literal data
10138,NA,22 columns,25 columns,literal data
10139,DATE,date like ,2,literal data
10139,TIME,time like ,in,literal data
10139,H2O,a double,"wetl""",literal data
10139,CO2,no trailing characters,2023-07-19,literal data
10139,CH4,no trailing characters,15:14:33,literal data
10139,NA,22 columns,25 columns,literal data
10140,DATE,date like ,2,literal data
10140,TIME,time like ,in,literal data
10140,H2O,a double,"wetl""",literal data
10140,CO2,no trailing characters,2023-07-19,literal data
10140,CH4,no trailing characters,15:14:34,literal data
10140,NA,22 columns,25 columns,literal data
10141,DATE,date like ,2,literal data
10141,TIME,time like ,in,literal data
10141,H2O,a double,"wetl""",literal data
10141,CO2,no trailing characters,2023-07-19,literal data
10141,CH4,no trailing characters,15:14:35,literal data
10141,NA,22 columns,25 columns,literal data
10142,DATE,date like ,2,literal data
10142,TIME,time like ,in,literal data
10142,H2O,a double,"wetl""",literal data
10142,CO2,no trailing characters,2023-07-19,literal data
10142,CH4,no trailing characters,15:14:36,literal data
10142,NA,22 columns,25 columns,literal data
10143,DATE,date like ,2,literal data
10143,TIME,time like ,in,literal data
10143,H2O,a double,"wetl""",literal data
10143,CO2,no trailing characters,2023-07-19,literal data
10143,CH4,no trailing characters,15:14:37,literal data
10143,NA,22 columns,25 columns,literal data
10144,DATE,date like ,2,literal data
10144,TIME,time like ,in,literal data
10144,H2O,a double,"wetl""",literal data
10144,CO2,no trailing characters,2023-07-19,literal data
10144,CH4,no trailing characters,15:14:38,literal data
10144,NA,22 columns,25 columns,literal data
10145,DATE,date like ,2,literal data
10145,TIME,time like ,in,literal data
10145,H2O,a double,"wetl""",literal data
10145,CO2,no trailing characters,2023-07-19,literal data
10145,CH4,no trailing characters,15:14:39,literal data
10145,NA,22 columns,25 columns,literal data
10146,DATE,date like ,2,literal data
10146,TIME,time like ,in,literal data
10146,H2O,a double,"wetl""",literal data
10146,CO2,no trailing characters,2023-07-19,literal data
10146,CH4,no trailing characters,15:14:40,literal data
10146,NA,22 columns,25 columns,literal data
10147,DATE,date like ,2,literal data
10147,TIME,time like ,in,literal data
10147,H2O,a double,"wetl""",literal data
10147,CO2,no trailing characters,2023-07-19,literal data
10147,CH4,no trailing characters,15:14:41,literal data
10147,NA,22 columns,25 columns,literal data
10148,DATE,date like ,2,literal data
10148,TIME,time like ,in,literal data
10148,H2O,a double,"wetl""",literal data
10148,CO2,no trailing characters,2023-07-19,literal data
10148,CH4,no trailing characters,15:14:42,literal data
10148,NA,22 columns,25 columns,literal data
10149,DATE,date like ,2,literal data
10149,TIME,time like ,in,literal data
10149,H2O,a double,"wetl""",literal data
10149,CO2,no trailing characters,2023-07-19,literal data
10149,CH4,no trailing characters,15:14:43,literal data
10149,NA,22 columns,25 columns,literal data
10150,DATE,date like ,2,literal data
10150,TIME,time like ,in,literal data
10150,H2O,a double,"wetl""",literal data
10150,CO2,no trailing characters,2023-07-19,literal data
10150,CH4,no trailing characters,15:14:44,literal data
10150,NA,22 columns,25 columns,literal data
10151,DATE,date like ,2,literal data
10151,TIME,time like ,in,literal data
10151,H2O,a double,"wetl""",literal data
10151,CO2,no trailing characters,2023-07-19,literal data
10151,CH4,no trailing characters,15:14:45,literal data
10151,NA,22 columns,25 columns,literal data
10152,DATE,date like ,2,literal data
10152,TIME,time like ,in,literal data
10152,H2O,a double,"wetl""",literal data
10152,CO2,no trailing characters,2023-07-19,literal data
10152,CH4,no trailing characters,15:14:46,literal data
10152,NA,22 columns,25 columns,literal data
10153,DATE,date like ,2,literal data
10153,TIME,time like ,in,literal data
10153,H2O,a double,"wetl""",literal data
10153,CO2,no trailing characters,2023-07-19,literal data
10153,CH4,no trailing characters,15:14:47,literal data
10153,NA,22 columns,25 columns,literal data
10154,DATE,date like ,2,literal data
10154,TIME,time like ,in,literal data
10154,H2O,a double,"wetl""",literal data
10154,CO2,no trailing characters,2023-07-19,literal data
10154,CH4,no trailing characters,15:14:48,literal data
10154,NA,22 columns,25 columns,literal data
10155,DATE,date like ,2,literal data
10155,TIME,time like ,in,literal data
10155,H2O,a double,"wetl""",literal data
10155,CO2,no trailing characters,2023-07-19,literal data
10155,CH4,no trailing characters,15:14:49,literal data
10155,NA,22 columns,25 columns,literal data
10156,DATE,date like ,2,literal data
10156,TIME,time like ,in,literal data
10156,H2O,a double,"wetl""",literal data
10156,CO2,no trailing characters,2023-07-19,literal data
10156,CH4,no trailing characters,15:14:50,literal data
10156,NA,22 columns,25 columns,literal data
10157,DATE,date like ,2,literal data
10157,TIME,time like ,in,literal data
10157,H2O,a double,"wetl""",literal data
10157,CO2,no trailing characters,2023-07-19,literal data
